? 1:95.6182 2:132937000 3:159.17 #572
? 1:89.012 2:132211000 3:838.534 #573
? 1:91.5305 2:133059000 3:3838.07 #574
? 1:89.245 2:135392000 3:124567000 #575
? 1:90.5329 2:134468000 3:122023000 #576
? 1:91.6449 2:132886000 3:120731000 #577
? 1:92.5191 2:133347000 3:120876000 #578
? 1:92.3199 2:13312000 3:118093000 #579
? 1:94.6766 2:13305000 3:121783000 #580
? 1:96.6444 2:131641000 3:123025000 #581
? 1:95.9386 2:130817000 3:414913 #582
? 1:96.7207 2:133494000 3:126798 #583
? 1:97.8172 2:133742000 3:66777.2 #584
